Action id,"
Municipality/Region name ",Province,Action Label/Name and Description,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)",,,,,,,,,
ID-Brampton-004,Brampton,Ontario,Host an annual CEERP (Community Energy and Emissions Reduction Plan) event in partnership with Brampton’s Environment Advisory Committee to share and learn about best practices being implemented.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Planned,,,,,,,,,
ID-Brampton-005,Brampton,Ontario,Design new communities to improve building energy efficiency.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brampton-006,Brampton,Ontario,"Update the Official Plan to encourage the planning, design and development of near-net zero buildings and neighbourhoods.",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway,,,,,,,,,
ID-Brampton-007,Brampton,Ontario,Require all new developments in Urban Centres to achieve a Sustainability Score within at least a Silver Threshold.,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-Brampton-008,Brampton,Ontario,Explore the opportunity to establish an incentive program for development applications that undertake and implement Integrated Energy Master Planning.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Brampton-009,Brampton,Ontario,Update the complete submission requirements for development applications to align with the goals and targets of the Community Energy and Emissions Reductions Plan (CEERP),Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway,,,,,,,,,
ID-Brampton-010,Brampton,Ontario,"Identify opportunities to introduce new legislative, policy, and/or programs, including by-laws and incentive programs, to require implementation of climate resilience measures (e.g. green roof bylaw) in new buildings",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Brampton-011,Brampton,Ontario,Develop a Home Retrofit Program (HRP) to achieve deep energy efficiency savings.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Brampton-012,Brampton,Ontario,"Develop a targeted program based on energy mapping, community GHG emissions, age of community.",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Brampton-013,Brampton,Ontario,Investigate the establishment of a home energy efficient retrofit company to offer standardized energy efficient retrofits and other energy technologies (e.g. solar hot water) to homes and other buildings.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Brampton-014,Brampton,Ontario,"Investigate partnership opportunities (e.g. The Atmospheric Fund and Clean Air Council) to deliver comprehensive home retrofit program, including the use of property assessed financing (i.e. Local Improvement Charges), to assist homeowners with financing standardized energy and water retrofits.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Brampton-015,Brampton,Ontario,Explore a Home Retrofit Program focused on a Property Assessed Clean Energy (PACE) program approach.,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway,,,,,,,,,
ID-Brampton-016,Brampton,Ontario,Investigate impacts of a Home Retrofit Program on the City’s Building Permit review process,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brampton-017,Brampton,Ontario,Identify opportunities within SNAPs to implement community retrofit programs and/or related projects.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Brampton-018,Brampton,Ontario,Investigate multi-municipal collaboration on delivering a regional Home Retrofit Program.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brampton-019,Brampton,Ontario,Develop an energy efficient retrofit program/strategy for high-density residential buildings.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brampton-020,Brampton,Ontario,Develop an energy efficient retrofit program/strategy affordable housing buildings.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brampton-021,Brampton,Ontario,"Develop an energy efficient retrofit strategy/program for the Institution, Commercial, and Industrial (ICI) sector.",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brampton-022,Brampton,Ontario,Develop minimum Energy Performance Targets for all new municipal buildings.,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway,,,,,,,,,
ID-Brampton-023,Brampton,Ontario,Explore land-use tools and incentives to help property owners and managers undertake deep energy and GHG emissions retrofits of existing buildings,Price Signals,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brampton-024,Brampton,Ontario,"Investigate the use of business licenses to promote a business retrofit program for more energy intensive sectors (e.g. grocery stores, small industry, food services).",Price Signals,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Brampton-025,Brampton,Ontario,Investigate the opportunity to develop a Community Improvement Plan (CIP) to promote energy efficiency and GHG emissions reduction in buildings.,Public Investment,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brampton-026,Brampton,Ontario,Complete a business case for establishing a new or adopting an existing Energy Performance Label program for homes and buildings.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),No,No,Planned,,,,,,,,,
ID-Brampton-027,Brampton,Ontario,Promote skilled training in retrofits in high schools and postsecondary institutions.,Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Planned,,,,,,,,,
ID-Brampton-028,Brampton,Ontario,Ensure City policies and programs are aligned with supporting the objectives for Home and Building Efficiency.,Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway,,,,,,,,,
ID-Brampton-029,Brampton,Ontario,"Advocate for national and provincial Building Code amendments that require buildings of a certain size, location and use to be built compatible for future low carbon district energy connections and solar PV.*",Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned,,,,,,,,,
ID-Brampton-030,Brampton,Ontario,Establish policies and plans to guide the City and private sector to transition to renewables to reduce the carbon intensity of buildings on low carbon district energy systems.*,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brampton-031,Brampton,Ontario,Investigate municipal tools to facilitate uptake of rooftop solar hot water systems and solar photovoltaic installations. ,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brampton-032,Brampton,Ontario,"Identify and designate potential large-scale solar photovoltaic installation locations, such as car parking structures, commercial rooftops, etc.",Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Planned,,,,,,,,,
ID-Brampton-033,Brampton,Ontario,Develop an engagement strategy to raise the awareness of energy saving opportunities.,Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned,,,,,,,,,
ID-Brampton-034,Brampton,Ontario,"Create targeted outreach programs based on energy use in residential, commercial, and industrial sectors.",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned,,,,,,,,,
ID-Brandon-001,Brandon,Manitoba,Develop a carbon neutral building standard for new municipal buildings.,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Planned,,,,,,,,,
ID-Brandon-002,Brandon,Manitoba,Require that all new municipal buildings comply with the Tier 4 level of the 2020 National Model Building Codes.,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned,,,,,,,,,
ID-Brandon-003,Brandon,Manitoba,Conduct a feasibility study for a green roof demonstration project on a municipal building.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote “cool roofs” — coating of rooftops white to reduce building energy use — and other low-cost approaches,No,No,Planned,,,,,,,,,
ID-Brandon-004,Brandon,Manitoba,Retrofit municipal buildings to improve energy efficiency and switch to alternative energy sources.,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned,,,,,,,,,
ID-Brandon-005,Brandon,Manitoba,Install renewable energy generation systems on existing municipal buildings (e.g. solar photovoltaic systems).,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned,,,,,,,,,
ID-Brandon-006,Brandon,Manitoba,Implement large-scale renewable energy projects on municipal properties (e.g. a solar photovoltaic system near the airport).,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned,,,,,,,,,
ID-Brandon-007,Brandon,Manitoba,Determine the feasibility of an Energy Management Position focused on improving efficiency in municipal buildings and facilities.,Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Planned,,,,,,,,,
ID-Brandon-008,Brandon,Manitoba,Advocate to the Province of Manitoba to adopt the 2020 National Model Building Codes at the Tier 3 level for residential buildings. ,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned,,,,,,,,,
ID-Brandon-009,Brandon,Manitoba,Work with Manitoba Hydro and the Province to explore opportunities to limit the expansion of natural gas systems in favour of alternative energy sources.,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Brandon-010,Brandon,Manitoba,Advocate to Manitoba Hydro and Efficiency Manitoba to introduce additional incentives for developers to incorporate energy efficiency and net-zero features in new buildings.,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Brandon-011,Brandon,Manitoba,Become a member of Sustainable Building Manitoba for education and support advancing sustainable building practices across the province. ,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Planned,,,,,,,,,
ID-Brandon-012,Brandon,Manitoba,Provide resources to developers on applying for rebates and incentives through Efficiency Manitoba’s various programs.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Planned,,,,,,,,,
ID-Brandon-013,Brandon,Manitoba,"Enhance and expand home energy efficiency and retrofit programming, in collaboration with community organizations and Efficiency Manitoba.",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brandon-014,Brandon,Manitoba,Hire a Community Energy Efficiency Program (CEEP) coordinator through Efficiency Manitoba’s funding program to support energy efficiency initiatives,Public Investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Planned,,,,,,,,,
ID-Brandon-015,Brandon,Manitoba,Provide resources to homeowners on applying for rebates for retrofits and upgrades through Efficiency Manitoba’s various programs.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Planned,,,,,,,,,
ID-Brandon-016,Brandon,Manitoba,Provide resources to property managers and owners of multi-unit dwellings on applying for rebates for retrofits and upgrades through FCM and Efficiency Manitoba’s Funding Programs.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Planned,,,,,,,,,
ID-Brandon-017,Brandon,Manitoba,Investigate opportunities to encourage energy efficiency upgrades when buildings are sold or undergo a major renovation.,Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Brandon-018,Brandon,Manitoba,Provide resources to building owners on applying for Efficiency Manitoba’s Solar Rebate Program to encourage the installation of solar photovoltaic systems and other renewable energy systems.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Planned,,,,,,,,,
ID-Burlington-001,Burlington,Ontario,Incrementally  increase the number of net zero new homes to 100% by 2030,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-Burlington-002,Burlington,Ontario,Incrementally increase the number of multi-residential buildings which achieve Passivhaus levels of performance to 100% by 2030,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-Burlington-003,Burlington,Ontario, Incrementally increase the number of ICI buildings which achieve Passivhaus levels of performance to 100% by 2030.,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-Burlington-004,Burlington,Ontario,Retrofit old  (pre-1980) homes,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Underway,,,,,,,,,
ID-Burlington-005,Burlington,Ontario, Retrofit new (post-1980) homes,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Underway,,,,,,,,,
ID-Burlington-006,Burlington,Ontario,Retrofit non-residential buildings,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Underway,,,,,,,,,
ID-Burlington-007,Burlington,Ontario,Non-residential building recommissions,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Underway,,,,,,,,,
ID-Burlington-008,Burlington,Ontario,Installation of heat pumps,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway,,,,,,,,,
ID-Burlington-009,Burlington,Ontario,Installation of solar hot water,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway,,,,,,,,,
ID-Caledon-001,Caledon,Ontario,Develop and deliver a home retrofit program to fast-track deep energy and climate resilience retrofits in residential buildings.,Action under consideration by municipality - not enough information to code.,,,No,No,Underway,,,,,,,,,
ID-Caledon-002,Caledon,Ontario,Review and enhance the Town’s Community Improvement Plan program to enable energy and resiliency retrofits to commercial buildings.,Public Investment,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Caledon-003,Caledon,Ontario,Support the uptake of community rooftop PV.,Action under consideration by municipality - not enough information to code.,,,No,No,Underway,,,,,,,,,
ID-Calgary-001,Calgary,Alberta,Develop a mechanism to require that all new residential buildings establish and disclose a building energy label.,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Ongoing,,,,,,,,,
ID-Calgary-002,Calgary,Alberta,Develop and launch the Calgary Clean Energy Improvement Program to provide financing for  residential energy efficiency and renewable energy retrofits . ,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Ongoing,,,,,,,,,
ID-Calgary-003,Calgary,Alberta,Support the implementation of energy step codes for new buildings,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Planned,,,,,,,,,
ID-Calgary-004,Calgary,Alberta,"Prepare Calgary for the implementation of 
a retrofit building code",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,No,Planned,,,,,,,,,
ID-Calgary-005,Calgary,Alberta,"Investigate policy approaches to provide 
monetary and non-monetary incentives 
to improve building performance.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned,,,,,,,,,
ID-Calgary-006,Calgary,Alberta,"Enable innovative financing mechanisms to 
fund improved energy performance.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned,,,,,,,,,
ID-Calgary-007,Calgary,Alberta,"Develop a residential building labelling 
program for Calgary",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),Yes,No,Planned,,,,,,,,,
ID-Calgary-008,Calgary,Alberta,"Develop a commercial building 
benchmarking program for Calgary",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,Yes,No,Planned,,,,,,,,,
ID-Calgary-009,Calgary,Alberta,Develop a mechanism to require that all new commercial buildings participate in measuring and disclosing their energy performance through the City of Calgary’s Commercial and Institutional Building Energy Benchmarking program ,Mandates,Mandate Reporting,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Underway,,,,,,,,,
ID-Calgary-010,Calgary,Alberta," Facilitate and support an information sharing, capacity-building and skills training centre to accelerate zero emissions new buildings and retrofits for commercial and residential buildings, in collaboration with stakeholders (e .g . industry, industry associations, businesses, skills training and employment organizations and other labour and non-profit organizations) ",Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Planned,,,,,,,,,
ID-Calgary-011,Calgary,Alberta," Investigate and develop financing programs, in collaboration with public and private-sector stakeholders, to leverage public and private financing sources to support new zero emissions buildings in both the residential and commercial sectors ",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway,,,,,,,,,
ID-Calgary-012,Calgary,Alberta, Develop process incentives to encourage net zero emissions residential and commercial buildings .,Price Signals,Increase Access to Financing,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Calgary-013,Calgary,Alberta,"Develop financial incentives to encourage achieving higher energy performance standards for new residential and commercial buildings, in alignment with the development of a Net Zero Emissions Building Standard ",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Calgary-014,Calgary,Alberta,"Establish Net Zero Emissions Building Standard that requires that new buildings achieve a better energy performance standard than required in the code . This should align with and accelerate implementation of federal net zero building code changes and be developed in collaboration with key stakeholders, other Alberta municipalities and other levels of government ",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Calgary-015,Calgary,Alberta,Establish a mandatory building labelling program for existing residential buildings . ,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Underway,,,,,,,,,
ID-Calgary-016,Calgary,Alberta,Expand the Commercial and Institutional Building Energy Benchmarking program by requiring participation from all existing commercial and institutional buildings . ,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Underway,,,,,,,,,
ID-Calgary-017,Calgary,Alberta,Develop mechanisms to establish energy performance standards as part of the Commercial and Institutional Building Energy Benchmarking program . ,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Planned,,,,,,,,,
ID-Calgary-018,Calgary,Alberta," Facilitate and support information sharing, training and accreditation for contractors,  energy auditors, homeowners, landlords and realtors in collaboration with stakeholders ",Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Planned,,,,,,,,,
ID-Calgary-019,Calgary,Alberta, Develop and launch a CEIP financing program for commercial buildings to encourage  deep energy retrofits . ,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Calgary-020,Calgary,Alberta,"Investigate non-CEIP financing models and repayment mechanisms, in collaboration with public and private-sector stakeholders, to leverage public and private financing sources to accelerate GHG reductions in residential and commercial buildings ",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Calgary-021,Calgary,Alberta,Develop process incentives to encourage deep energy retrofits in residential and commercial buildings .,Price Signals,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-Calgary-022,Calgary,Alberta, Develop a net zero emissions retrofit incentive program to support the greater downtown ,Price Signals,Increase Access to Financing,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Calgary-023,Calgary,Alberta,Develop a retrofit incentive program to encourage the adaptive reuse of buildings . ,Price Signals,Increase Access to Financing,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Calgary-024,Calgary,Alberta,Develop a retrofit incentive program for tenants that allows non-owners to benefit from  improved energy performance and cost savings . ,Price Signals,Increase Access to Financing,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Calgary-025,Calgary,Alberta,"Develop financial incentives to retrofit residential and commercial buildings, in alignment with  the development of a Net Zero Emissions Retrofit Standard . ",Price Signals,Increase Access to Financing,Information gathering phase - action not yet identified ,No,No,Planned,,,,,,,,,
ID-Calgary-026,Calgary,Alberta,Design and implement a mandatory emissions performance standard for building retrofits  in alignment with federal government direction and in collaboration with stakeholders . ,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Planned,,,,,,,,,
ID-Cambridge-001,Cambridge,Ontario,"Develop De-Carbonization Plan for Buildings & Facilities - Utilizing building condition assessments, develop a unifying de-carbonization plan for each major City building and facility. Decarbonizing existing buildings will require deep energy retrofits that upgrade or replace equipment and building envelopes (e.g., roof, walls, windows) to achieve large energy and GHG emission reductions. ",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Ongoing,,,,,,,,,
